subnum,effector,mm,init
140501HQ940114,LF,0,a_14
140501HQ940114,LF,0,a_14
140501HQ940114,LF,0,a_14
140501HQ940114,LF,0,a_14
140507AF750813,L,1,a_15
140507AF750813,L,1,a_15
140507AF750813,L,0,a_15
140507AF750813,L,0,a_15
140507AF750813,L,0,a_15
140507AF750813,L,0,a_15
140507AF750813,L,0,a_15
140507AF750813,L,0,a_15
140507AF750813,L,0,a_15
140507AF750813,L,0,a_15
140507AF750813,R,1,a_15
140507AF750813,R,1,a_15
140507AF750813,R,0,a_15
140507AF750813,R,0,a_15
140507AF750813,R,0,a_15
140507AF750813,R,0,a_15
140507AF750813,R,0,a_15
140507AF750813,R,0,a_15
140507AF750813,R,0,a_15
140507AF750813,R,0,a_15
140520PZ570916,LP,3.5,a_16
140520PZ570916,LP,1,a_16
140520PZ570916,LP,6.5,a_16
140520PZ570916,LP,3,a_16
140520PZ570916,LP,2,a_16
140520PZ570916,LP,1.5,a_16
140520PZ570916,LP,4,a_16
140520PZ570916,LP,1.5,a_16
140520PZ570916,LP,1.5,a_16
140520PZ570916,LP,0,a_16
140522JR850207,L,1,a_17
140522JR850207,L,0,a_17
140522JR850207,L,0,a_17
140522JR850207,L,0,a_17
140522JR850207,L,0,a_17
140522JR850207,L,0,a_17
140522JR850207,L,0,a_17
140522JR850207,L,0,a_17
140522JR850207,L,0,a_17
140522JR850207,L,0,a_17
140522JR850207,RF,1.5,a_18
140522JR850207,RF,0,a_18
140522JR850207,RF,0,a_18
140522JR850207,RF,0,a_18
140522JR850207,RF,0,a_18
140522JR850207,RF,0,a_18
140522JR850207,RF,0,a_18
140522JR850207,RF,0,a_18
140522JR850207,RF,0,a_18
140522JR850207,RF,0,a_18
140528PF590128,L,1,a_19
140528PF590128,L,2.5,a_19
140528PF590128,L,0,a_19
140528PF590128,L,2,a_19
140528PF590128,L,1,a_19
140528PF590128,L,1.5,a_19
140528PF590128,L,1.5,a_19
140528PF590128,L,0,a_19
140528PF590128,L,0,a_19
140528PF590128,L,0,a_19
140528PF590128,L,0,a_19
140528PF590128,R,1,a_19
140528PF590128,R,1,a_19
140528PF590128,R,1.5,a_19
140528PF590128,R,1.5,a_19
140528PF590128,R,0,a_19
140528PF590128,R,0,a_19
140528PF590128,R,0,a_19
140528PF590128,R,0,a_19
140528PF590128,R,0,a_19
140528PF590128,R,0,a_19
140602PB490304,RP,1,a_20
140602PB490304,RP,2,a_20
140602PB490304,RP,1,a_20
140602PB490304,RP,1,a_20
140602PB490304,RP,0,a_20
140602PB490304,RP,0,a_20
140602PB490304,RP,0,a_20
140602PB490304,RP,0,a_20
140602PB490304,RP,0,a_20
140602PB490304,RP,0,a_20
140605KH701230,RF,2,a_21
140605KH701230,RF,1.5,a_21
140605KH701230,RF,0,a_21
140605KH701230,RF,0,a_21
140605KH701230,RF,0,a_21
140605KH701230,RF,0,a_21
140605KH701230,RF,0,a_21
140605KH701230,RF,0,a_21
140605KH701230,RF,0,a_21
140605KH701230,RF,0,a_21
